,date,time,description,latitude,longitude
,4/16/2020,10:15AM,theft,39.954549,-75.195023
,3/14/2020,8:00AM,theft,39.950457,-75.205604
,4/15/2020,5:58AM,robbery,39.954018,-75.202851
,4/15/2020,1:36AM,weapons,39.953942,-75.20093
,4/14/2020,12:05PM,other,39.951397,-75.20005
,4/13/2020,1:00AM,theft,39.95662,-75.202445
,4/14/2020,2:30PM,burglary,39.953792,-75.205901
,4/13/2020,1:37PM,theft,39.95541,-75.206004
,4/3/2020,9:00PM,theft,39.955448,-75.199243
,4/11/2020,3:45PM,burglary,39.951576,-75.206101
,4/7/2020,7:00AM,theft,39.952632,-75.205741
